Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2010-01-04 00:00:00-05:00,6.461440056362911,6.493833471609664,6.429652140623773,6.478999137878418,493729600,0.0,0.0,AAPL
2010-01-05 00:00:00-05:00,6.496859104470853,6.526830511220312,6.4559883061854455,6.490198612213135,601904800,0.0,0.0,AAPL
2010-01-06 00:00:00-05:00,6.49020002521308,6.515933346697057,6.380304304265839,6.386964797973633,552160000,0.0,0.0,AAPL
2010-01-07 00:00:00-05:00,6.410578669712555,6.418147412801356,6.3288378611744625,6.375157356262207,477131200,0.0,0.0,AAPL
2010-01-08 00:00:00-05:00,6.36668028994868,6.41814693067592,6.329140943869104,6.417541027069092,447610800,0.0,0.0,AAPL
2010-01-11 00:00:00-05:00,6.442367707437174,6.448422702965721,6.310674788333729,6.360930442810059,462229600,0.0,0.0,AAPL
2010-01-12 00:00:00-05:00,6.3330762640068885,6.350636153040207,6.24921701169753,6.288573265075684,594459600,0.0,0.0,AAPL
2010-01-13 00:00:00-05:00,6.293114829307223,6.385753412608491,6.178980612047828,6.377276420593262,605892000,0.0,0.0,AAPL
2010-01-14 00:00:00-05:00,6.360927589882484,6.371523423099817,6.327928283257664,6.340340614318848,432894000,0.0,0.0,AAPL
2010-01-15 00:00:00-05:00,6.385753371142189,6.406037601904055,6.232565654280191,6.234382152557373,594067600,0.0,0.0,AAPL
2010-01-19 00:00:00-05:00,6.307040272710887,6.514721718880825,6.27404176764002,6.510180473327637,730007600,0.0,0.0,AAPL
2010-01-20 00:00:00-05:00,6.506243752729272,6.525619326649082,6.342460229693229,6.409972190856934,612152800,0.0,0.0,AAPL
2010-01-21 00:00:00-05:00,6.420569200883993,6.457806203048959,6.273132919766326,6.299168586730957,608154400,0.0,0.0,AAPL
2010-01-22 00:00:00-05:00,6.2601156156175035,6.2819127870265286,5.968877256740485,5.986738681793213,881767600,0.0,0.0,AAPL
2010-01-25 00:00:00-05:00,6.130843054246182,6.197143208206452,6.060606750533648,6.147796630859375,1065699600,0.0,0.0,AAPL
2010-01-26 00:00:00-05:00,6.23498769386773,6.469916217960195,6.132963465178653,6.234684944152832,1867110000,0.0,0.0,AAPL
2010-01-27 00:00:00-05:00,6.262233687012482,6.375156489100733,6.040625769978811,6.293416500091553,1722568400,0.0,0.0,AAPL
2010-01-28 00:00:00-05:00,6.204107586621042,6.221363509598518,6.015498582100633,6.033360004425049,1173502400,0.0,0.0,AAPL
2010-01-29 00:00:00-05:00,6.087553093106142,6.121460257624213,5.759682380571648,5.814478874206543,1245952400,0.0,0.0,AAPL
2010-02-01 00:00:00-05:00,5.823862141381181,5.933757848762247,5.79146873439347,5.8953094482421875,749876400,0.0,0.0,AAPL
2010-02-02 00:00:00-05:00,5.931032852067346,5.9434451832352035,5.8544388091472275,5.929518699645996,698342400,0.0,0.0,AAPL
2010-02-03 00:00:00-05:00,5.908629254865349,6.0609090885903285,5.885923436302187,6.031542778015137,615328000,0.0,0.0,AAPL
2010-02-04 00:00:00-05:00,5.9558598934831775,6.005510049767324,5.799645046618633,5.8141770362854,757652000,0.0,0.0,AAPL
2010-02-05 00:00:00-05:00,5.83173509578266,5.933759337163032,5.777846448237897,5.917410850524902,850306800,0.0,0.0,AAPL
2010-02-08 00:00:00-05:00,5.9243733926438,5.9906739592510485,5.873209502427074,5.876842498779297,478270800,0.0,0.0,AAPL
2010-02-09 00:00:00-05:00,5.9464731841124125,5.979169342168595,5.895915198580612,5.939510345458984,632886800,0.0,0.0,AAPL
2010-02-10 00:00:00-05:00,5.930426851606457,5.951922481595505,5.881080274021784,5.907115936279297,370361600,0.0,0.0,AAPL
2010-02-11 00:00:00-05:00,5.899852363398392,6.0472882640027406,5.875027287093976,6.014591693878174,550345600,0.0,0.0,AAPL
2010-02-12 00:00:00-05:00,5.997637968675989,6.104506611203188,5.918622303618851,6.066360950469971,655468800,0.0,0.0,AAPL
2010-02-16 00:00:00-05:00,6.113589048823949,6.166569046378154,6.100873962588424,6.157789707183838,543737600,0.0,0.0,AAPL
2010-02-17 00:00:00-05:00,6.18170413558327,6.18533713167949,6.080890514939017,6.132054805755615,436396800,0.0,0.0,AAPL
2010-02-18 00:00:00-05:00,6.104201922365536,6.172622545936241,6.082707502144712,6.143558979034424,422825200,0.0,0.0,AAPL
2010-02-19 00:00:00-05:00,6.111166085481532,6.151733333277144,6.088459857639413,6.105413436889648,415469600,0.0,0.0,AAPL
2010-02-22 00:00:00-05:00,6.125697341276859,6.130540932087007,6.03033321043833,6.067570209503174,390563600,0.0,0.0,AAPL
2010-02-23 00:00:00-05:00,6.054855796796601,6.09512070140676,5.9249793997178095,5.96584939956665,575094800,0.0,0.0,AAPL
2010-02-24 00:00:00-05:00,6.001269296704097,6.098449920040565,5.989462059538582,6.074836254119873,460566400,0.0,0.0,AAPL
2010-02-25 00:00:00-05:00,5.975537000262955,6.141439795005359,5.960702669061357,6.11540412902832,665126000,0.0,0.0,AAPL
2010-02-26 00:00:00-05:00,6.1269069197757675,6.211372047822591,6.115402837727298,6.194721221923828,507460800,0.0,0.0,AAPL
2010-03-01 00:00:00-05:00,6.228933252969777,6.342461980911242,6.219851164921197,6.327022552490234,550093600,0.0,0.0,AAPL
2010-03-02 00:00:00-05:00,6.355479226621843,6.3827262966530425,6.28917865613411,6.322783470153809,566546400,0.0,0.0,AAPL
2010-03-03 00:00:00-05:00,6.325507698664499,6.353662613121122,6.29523353625014,6.337314128875732,372052800,0.0,0.0,AAPL
2010-03-04 00:00:00-05:00,6.335801102459847,6.38545043711548,6.316121967486516,6.379092693328857,366041200,0.0,0.0,AAPL
2010-03-05 00:00:00-05:00,6.507153585002196,6.651259214777252,6.497768343897317,6.62855339050293,899620400,0.0,0.0,AAPL
